Product_Display_Name,GUID,Service_Plan_Id,Service_Plans_Included_Friendly_Names
Dynamics 365 Business Central for IWs,6a4a1628-9b9a-424d-bed5-4118f0ede3fd,3f2afeed-6fb5-4bf9-998f-f2912133aead,Dynamics 365 Business Central for IWs
Dynamics 365 Business Central for IWs,6a4a1628-9b9a-424d-bed5-4118f0ede3fd,113feb6c-3fe4-4440-bddc-54d774bf0318,Exchange Foundation
Dynamics 365 Business Central Premium,f991cecc-3f91-4cd0-a9a8-bf1c8167e029,8e9002c0-a1d8-4465-b952-817d2948e6e2,Dynamics 365 Business Central Premium
Dynamics 365 Business Central Premium,f991cecc-3f91-4cd0-a9a8-bf1c8167e029,113feb6c-3fe4-4440-bddc-54d774bf0318,Exchange Foundation
Dynamics 365 Business Central Premium,f991cecc-3f91-4cd0-a9a8-bf1c8167e029,7e6d7d78-73de-46ba-83b1-6d25117334ba,Flow for Dynamics 365
Dynamics 365 Business Central Premium,f991cecc-3f91-4cd0-a9a8-bf1c8167e029,874fc546-6efe-4d22-90b8-5c4e7aa59f4b,PowerApps for Dynamics 365
Dynamics 365 Business Central Team Members,2e3c4023-80f6-4711-aa5d-29e0ecb46835,d9a6391b-8970-4976-bd94-5f205007c8d8,Dynamics 365 for Team Members
Dynamics 365 Business Central Team Members,2e3c4023-80f6-4711-aa5d-29e0ecb46835,113feb6c-3fe4-4440-bddc-54d774bf0318,Exchange Foundation
Dynamics 365 Business Central Team Members,2e3c4023-80f6-4711-aa5d-29e0ecb46835,52e619e2-2730-439a-b0d3-d09ab7e8b705,Power Apps for Dynamics 365
Dynamics 365 Business Central Team Members,2e3c4023-80f6-4711-aa5d-29e0ecb46835,1ec58c70-f69c-486a-8109-4b87ce86e449,Power Automate for Dynamics 365
Dynamics 365 Commerce Trial,1508ad2d-5802-44e6-bfe8-6fb65de63d28,874d6da5-2a67-45c1-8635-96e8b3e300ea,Dynamics 365 for Retail Trial
Dynamics 365 Commerce Trial,1508ad2d-5802-44e6-bfe8-6fb65de63d28,113feb6c-3fe4-4440-bddc-54d774bf0318,Exchange Foundation
Dynamics 365 Customer Engagement Plan,ea126fc5-a19e-42e2-a731-da9d437bffcf,d56f3deb-50d8-465a-bedb-f079817ccac1,Dynamics 365 Customer Engagement Plan
Dynamics 365 Customer Engagement Plan,ea126fc5-a19e-42e2-a731-da9d437bffcf,1412cdc1-d593-4ad1-9050-40c30ad0b023,Dynamics 365 Customer Service Insights for CE Plan
Dynamics 365 Customer Engagement Plan,ea126fc5-a19e-42e2-a731-da9d437bffcf,8c66ef8a-177f-4c0d-853c-d4f219331d09,Dynamics 365 for Field Service
Dynamics 365 Customer Engagement Plan,ea126fc5-a19e-42e2-a731-da9d437bffcf,18fa3aba-b085-4105-87d7-55617b8585e6,Dynamics 365 Project Operations CDS
Dynamics 365 Customer Engagement Plan,ea126fc5-a19e-42e2-a731-da9d437bffcf,97f29a83-1a20-44ff-bf48-5e4ad11f3e51,Microsoft Dynamics 365 Customer Voice for Customer Engagement Plan
Dynamics 365 Customer Engagement Plan,ea126fc5-a19e-42e2-a731-da9d437bffcf,60bf28f9-2b70-4522-96f7-335f5e06c941,Power Pages Internal User
